iter	Passed	Remaining
0	53	53681
1	54	27425
2	56	18646
3	57	14229
4	58	11578
5	59	9818
6	60	8553
7	61	7604
8	62	6864
9	63	6272
10	64	5787
11	65	5384
12	66	5041
13	67	4758
14	69	4546
15	71	4397
16	72	4199
17	73	4018
18	74	3858
19	75	3710
20	76	3577
21	77	3457
22	78	3347
23	79	3245
24	80	3152
25	81	3064
26	82	2990
27	84	2917
28	85	2849
29	86	2784
30	87	2725
31	88	2668
32	89	2629
33	90	2584
34	92	2538
35	93	2492
36	94	2448
37	95	2407
38	96	2368
39	97	2336
40	98	2304
41	99	2272
42	100	2240
43	101	2209
44	102	2180
45	103	2151
46	104	2123
47	105	2096
48	106	2071
49	107	2047
50	108	2027
51	110	2014
52	111	1996
53	113	1981
54	114	1963
55	115	1944
56	116	1925
57	117	1906
58	118	1888
59	119	1871
60	120	1854
61	121	1837
62	122	1821
63	123	1805
64	124	1791
65	125	1776
66	126	1763
67	127	1750
68	128	1738
69	129	1725
70	130	1712
71	131	1700
72	132	1688
73	134	1678
74	135	1666
75	136	1656
76	137	1646
77	138	1635
78	139	1624
79	140	1614
80	141	1605
81	142	1596
82	143	1582
83	144	1573
84	145	1565
85	146	1555
86	147	1546
87	148	1538
88	149	1529
89	150	1521
90	151	1512
91	152	1504
92	153	1498
93	154	1491
94	155	1484
95	156	1477
96	158	1471
97	159	1464
98	160	1457
99	161	1449
100	162	1443
101	163	1436
102	164	1430
103	165	1423
104	166	1417
105	167	1410
106	168	1404
107	169	1398
108	170	1391
109	171	1387
110	172	1382
111	173	1376
112	174	1370
113	176	1370
114	177	1367
115	178	1363
116	179	1356
117	180	1350
118	181	1345
119	182	1340
120	183	1334
121	184	1328
122	185	1325
123	186	1320
124	188	1316
125	189	1311
126	189	1305
127	190	1300
128	191	1296
129	192	1291
130	193	1286
131	194	1282
132	195	1277
133	196	1272
134	197	1268
135	198	1264
136	200	1260
137	201	1256
138	202	1253
139	203	1248
140	204	1244
141	205	1238
142	206	1234
143	207	1230
144	208	1227
145	209	1223
146	210	1220
147	211	1216
148	212	1212
149	213	1208
150	214	1204
151	215	1201
152	216	1198
153	217	1195
154	218	1191
155	219	1188
156	220	1184
157	221	1181
158	222	1177
159	223	1174
160	224	1169
161	225	1165
162	226	1162
163	227	1159
164	228	1156
165	229	1154
166	230	1150
167	231	1147
168	232	1144
169	233	1141
170	234	1138
171	235	1135
172	236	1132
173	237	1129
174	238	1126
175	239	1123
176	240	1120
177	242	1120
178	243	1117
179	244	1114
180	245	1112
181	246	1109
182	248	1107
183	249	1104
184	250	1102
185	251	1099
186	252	1096
187	253	1093
188	254	1090
189	255	1087
190	256	1085
191	257	1082
192	258	1080
193	259	1077
194	260	1075
195	261	1072
196	262	1070
197	263	1067
198	264	1064
199	265	1061
200	266	1059
201	267	1056
202	268	1054
203	269	1051
204	270	1048
205	271	1046
206	272	1043
207	273	1041
208	274	1039
209	275	1037
210	276	1035
211	278	1033
212	279	1031
213	280	1028
214	281	1026
215	282	1023
216	283	1021
217	284	1019
218	285	1018
219	286	1016
220	288	1015
221	289	1014
222	291	1016
223	293	1017
224	295	1018
225	297	1018
226	298	1016
227	299	1015
228	301	1013
229	302	1011
230	303	1010
231	305	1010
232	306	1009
233	307	1007
234	308	1005
235	309	1003
236	310	1001
237	311	998
238	312	996
239	313	994
240	314	991
241	315	989
242	317	987
243	318	985
244	319	983
245	320	981
246	321	979
247	322	977
248	323	975
249	324	972
250	325	970
251	326	968
252	327	966
253	328	964
254	329	962
255	330	959
256	331	957
257	332	955
258	333	953
259	334	952
260	335	950
261	336	948
262	337	945
263	338	943
264	339	941
265	340	939
266	341	938
267	342	935
268	343	933
269	344	932
270	345	930
271	346	928
272	348	926
273	349	926
274	350	924
275	351	922
276	353	923
277	355	922
278	356	921
279	357	919
280	358	917
281	359	915
282	360	913
283	361	911
284	362	909
285	363	908
286	364	906
287	365	904
288	366	902
289	367	900
290	368	898
291	369	896
292	370	895
293	372	893
294	372	891
295	374	889
296	375	887
297	375	885
298	377	884
299	378	882
300	379	881
301	380	879
302	381	877
303	382	875
304	383	874
305	384	872
306	385	870
307	386	868
308	387	866
309	388	865
310	389	863
311	390	861
312	391	859
313	392	858
314	393	856
315	394	854
316	395	853
317	396	851
318	397	849
319	398	847
320	399	845
321	400	844
322	401	842
323	402	840
324	403	838
325	404	837
326	406	835
327	407	834
328	408	833
329	409	832
330	410	830
331	412	829
332	413	827
333	414	825
334	415	824
335	416	822
336	417	821
337	418	819
338	419	817
339	420	816
340	421	814
341	422	812
342	423	811
343	424	809
344	425	807
345	426	806
346	427	804
347	428	802
348	429	800
349	430	799
350	431	797
351	432	795
352	433	794
353	434	792
354	435	791
355	436	789
356	437	788
357	438	786
358	439	784
359	440	783
360	441	781
361	442	780
362	443	778
363	444	777
364	445	775
365	446	774
366	448	772
367	449	771
368	450	770
369	451	769
370	452	767
371	453	766
372	455	764
373	456	763
374	457	762
375	458	760
376	459	759
377	460	758
378	461	756
379	462	755
380	463	753
381	465	752
382	466	751
383	467	750
384	468	749
385	470	747
386	471	746
387	472	745
388	473	743
389	474	742
390	475	740
391	476	739
392	477	738
393	478	736
394	480	735
395	481	734
396	482	733
397	484	732
398	485	731
399	486	730
400	487	728
401	488	727
402	490	726
403	491	724
404	492	723
405	493	721
406	494	720
407	495	719
408	496	717
409	497	716
410	498	715
411	500	713
412	501	712
413	502	711
414	503	709
415	504	708
416	505	707
417	506	705
418	508	704
419	509	703
420	510	701
421	511	700
422	512	699
423	513	698
424	515	696
425	516	695
426	517	694
427	518	692
428	519	691
429	520	690
430	521	688
431	522	687
432	524	686
433	525	685
434	526	684
435	528	683
436	529	681
437	530	680
438	531	679
439	532	677
440	533	676
441	534	675
442	536	674
443	537	672
444	538	671
445	539	670
446	541	669
447	542	668
448	543	666
449	544	665
450	545	664
451	546	662
452	547	661
453	548	660
454	550	659
455	552	658
456	553	657
457	554	656
458	555	655
459	557	654
460	558	653
461	559	651
462	560	650
463	562	649
464	563	648
465	564	646
466	565	645
467	566	644
468	568	643
469	569	642
470	571	641
471	572	640
472	573	639
473	575	638
474	576	636
475	577	635
476	578	634
477	580	633
478	581	632
479	582	631
480	584	630
481	585	629
482	586	627
483	587	626
484	588	625
485	590	624
486	591	622
487	592	621
488	593	620
489	594	618
490	595	617
491	596	616
492	597	614
493	599	613
494	600	612
495	601	611
496	602	609
497	603	608
498	604	607
499	606	606
500	607	604
501	608	603
502	609	602
503	610	600
504	611	599
505	612	598
506	614	597
507	615	595
508	617	595
509	618	594
510	620	593
511	621	592
512	622	591
513	623	589
514	624	588
515	625	586
516	626	585
517	627	584
518	629	583
519	630	581
520	631	580
521	632	579
522	633	578
523	635	576
524	636	575
525	637	574
526	638	572
527	639	571
528	640	570
529	641	568
530	642	567
531	643	566
532	644	564
533	645	563
534	646	562
535	647	560
536	648	559
537	649	558
538	650	556
539	651	555
540	652	553
541	653	552
542	654	551
543	655	549
544	656	548
545	658	547
546	659	545
547	660	544
548	661	543
549	662	541
550	663	540
551	664	539
552	665	537
553	666	536
554	667	535
555	668	533
556	669	532
557	670	530
558	671	529
559	672	528
560	673	527
561	674	525
562	675	524
563	676	522
564	677	521
565	678	520
566	679	518
567	680	517
568	681	516
569	682	514
570	683	513
571	685	512
572	686	511
573	687	510
574	688	509
575	689	507
576	690	506
577	691	505
578	692	503
579	693	502
580	694	501
581	695	499
582	696	498
583	698	497
584	699	495
585	699	494
586	701	493
587	702	491
588	703	490
589	704	489
590	705	488
591	706	486
592	707	485
593	708	484
594	709	482
595	710	481
596	711	480
597	712	478
598	713	477
599	714	476
600	715	474
601	716	473
602	717	472
603	718	471
604	719	469
605	720	468
606	721	467
607	722	465
608	723	464
609	724	463
610	725	461
611	726	460
612	727	459
613	728	457
614	729	456
615	730	455
616	731	454
617	732	452
618	733	451
619	734	450
620	735	449
621	736	447
622	737	446
623	738	445
624	739	443
625	740	442
626	741	441
627	742	439
628	743	438
629	744	437
630	746	436
631	747	435
632	748	434
633	750	433
634	751	431
635	752	430
636	753	429
637	754	427
638	755	426
639	756	425
640	757	424
641	758	422
642	759	421
643	760	420
644	761	419
645	762	417
646	763	416
647	764	415
648	765	414
649	766	412
650	767	411
651	768	410
652	769	408
653	770	407
654	771	406
655	772	405
656	773	403
657	774	402
658	776	401
659	776	400
660	777	398
661	778	397
662	779	396
663	780	395
664	781	393
665	782	392
666	783	391
667	784	390
668	785	388
669	786	387
670	788	386
671	789	385
672	790	384
673	791	383
674	792	381
675	793	380
676	794	379
677	795	377
